anio,tipo_ingreso,region,ingreso_nominal,ingreso_real_nov2024,error_estandar_nominal,error_estandar_real
2013,Ingreso del trabajo,Magallanes,730459.0803481308,1206718.4007351128,30978.241756939555,51176.05538246412
2015,Ingreso del trabajo,Magallanes,877524.9676898223,1319797.5514054936,51828.79254108198,77950.50398178726
2017,Ingreso del trabajo,Magallanes,1027627.9885348822,1472590.9075704876,60580.79845553096,86812.28418677587
2020,Ingreso del trabajo,Magallanes,917618.5511780144,1211256.4875549804,54079.29975264012,71384.67567348495
2022,Ingreso del trabajo,Magallanes,1108000.429405604,1209936.468910919,46092.515831664576,50333.02728817773
2024,Ingreso del trabajo,Magallanes,1365575.0456911346,1365575.0456911346,40145.779308355144,40145.779308355144
2006,Ingreso del trabajo,Total,438175.8134185609,922360.0872460698,9002.002265818151,18949.214769547234
2009,Ingreso del trabajo,Total,506891.4354848282,933187.1327275689,9825.079856170676,18087.972015210235
2011,Ingreso del trabajo,Total,553284.1087584402,955521.6558258259,10970.858682304062,18946.672944339112
2013,Ingreso del trabajo,Total,680982.7127391552,1124983.4414450815,12107.159501021119,20001.027495686893
2015,Ingreso del trabajo,Total,763709.3220228531,1148618.8203223692,10633.851609895328,15993.312821282574
2017,Ingreso del trabajo,Total,841159.8235129154,1205382.0270940098,14330.413147172523,20535.482039898205
2020,Ingreso del trabajo,Total,818662.1758042738,1080634.0720616342,13603.428309835701,17956.52536898314
2022,Ingreso del trabajo,Total,1068168.0421068997,1166439.501980732,11706.843695720927,12783.873315727235
2024,Ingreso del trabajo,Total,1259979.8683364852,1259979.8683364852,10611.747309875065,10611.747309875065
2006,Ingreso autónomo,Arica y Parinacota,455760.6129768699,959376.0903163094,110970.85421477344,233593.64812209795
2009,Ingreso autónomo,Arica y Parinacota,565709.2861577119,1041470.7958163468,45930.576275615866,84558.19092340881
2011,Ingreso autónomo,Arica y Parinacota,551181.5541550182,951890.5440257164,28354.20568791621,48967.713223031315
2013,Ingreso autónomo,Arica y Parinacota,616511.5720659554,1018477.1170529583,26815.97783167865,44299.99537793312
2015,Ingreso autónomo,Arica y Parinacota,737577.7668366499,1109316.9613223192,51244.92149237765,77072.36192453597
2017,Ingreso autónomo,Arica y Parinacota,731261.9371930499,1047898.3559976408,33414.0391965274,47882.318168623766
2020,Ingreso autónomo,Arica y Parinacota,770424.089252986,1016959.797813943,28056.199485450223,37034.18332079428
2022,Ingreso autónomo,Arica y Parinacota,1055232.1691851954,1152313.528750233,37135.38584243465,40551.84133993863
2024,Ingreso autónomo,Arica y Parinacota,1200748.1784262334,1200748.1784262334,30444.15885116717,30444.158851167173
2006,Ingreso autónomo,Tarapacá,436704.87608896877,919263.7641672791,18955.93654309818,39902.24642322168
2009,Ingreso autónomo,Tarapacá,497422.7384371633,915755.2614628172,52852.34304648389,97301.1635485768
2011,Ingreso autónomo,Tarapacá,652993.2789877394,1127719.3928118227,27625.3675954809,47709.00983739558
2013,Ingreso autónomo,Tarapacá,885201.4541915735,1462352.8023244792,47076.40981149618,77770.22900859169
2015,Ingreso autónomo,Tarapacá,1116924.3055285166,1679854.15551489,188825.4198419956,283993.43144236115
2017,Ingreso autónomo,Tarapacá,926296.3028645756,1327382.602004937,35460.32236397098,50814.64194757042
2020,Ingreso autónomo,Tarapacá,985091.9831354052,1300321.4177387345,58873.90099011423,77713.54930695078
2022,Ingreso autónomo,Tarapacá,1121190.004046888,1224339.4844192015,29550.94197302458,32269.628634542856
2024,Ingreso autónomo,Tarapacá,1430925.819927388,1430925.819927388,36937.279003869786,36937.279003869786
2006,Ingreso autónomo,Antofagasta,627309.78506198,1320487.097555468,33900.111296859846,71359.73427988998
2009,Ingreso autónomo,Antofagasta,731010.2654187282,1345789.8986358782,63907.080143176565,117652.93454358805
